episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
99,99,-312,301,True,False,2,0,12,0.6057704364907278
100,0,-55,14,False,True,1,0,0,0.6027415843082742
101,1,-765,500,False,False,2,0,35,0.5997278763867329
102,2,-52,108,True,False,2,1,5,0.5967292370047992
103,3,43,49,True,False,1,0,3,0.5937455908197752
104,4,-62,17,False,True,1,0,1,0.5907768628656763
105,5,-119,44,False,True,1,1,5,0.5878229785513479
106,6,-77,18,False,True,0,0,1,0.5848838636585911
107,7,-66,110,True,False,1,0,10,0.5819594443402982
108,8,-15,99,True,False,2,1,2,0.5790496471185967
109,9,-180,209,True,False,2,0,10,0.5761543988830038
110,10,-259,270,True,False,3,0,15,0.5732736268885887
111,11,-193,104,False,True,2,0,10,0.5704072587541458
112,12,-721,500,False,False,2,0,25,0.567555222460375
113,13,51,43,True,False,1,0,3,0.5647174463480732
114,14,-42,106,True,False,2,0,8,0.5618938591163328
115,15,76,44,True,False,3,0,2,0.5590843898207511
116,16,43,50,True,False,2,0,3,0.5562889678716474
117,17,69,34,True,False,1,0,1,0.5535075230322891
118,18,-211,96,False,True,1,2,11,0.5507399854171277
119,19,-156,84,False,True,2,1,5,0.547986285490042
120,20,-51,2,False,True,0,0,0,0.5452463540625918
121,21,-221,249,True,False,3,0,11,0.5425201222922789
122,22,-39,120,True,False,2,0,3,0.5398075216808175
123,23,-114,57,False,True,2,2,2,0.5371084840724134
124,24,45,66,True,False,3,0,1,0.5344229416520513
125,25,43,67,True,False,3,0,1,0.531750826943791
126,26,-93,29,False,True,0,0,2,0.5290920728090721
127,27,29,53,True,False,0,0,3,0.5264466124450268
128,28,-665,429,False,True,2,0,21,0.5238143793828016
129,29,-583,365,False,True,2,0,21,0.5211953074858876
130,30,0,90,True,False,2,0,2,0.5185893309484582
131,31,-330,325,True,False,3,0,14,0.5159963842937159
132,32,-122,50,False,True,1,1,4,0.5134164023722473
133,33,-229,120,False,True,1,2,9,0.510849320360386
134,34,-71,126,True,False,2,0,9,0.5082950737585841
135,35,-52,3,False,True,0,0,0,0.5057535983897912
136,36,-51,2,False,True,0,0,0,0.5032248303978422
137,37,-548,418,True,False,1,0,24,0.500708706245853
138,38,-291,177,False,True,1,1,6,0.4982051627146237
139,39,59,44,True,False,2,0,3,0.49571413690105054
140,40,-290,164,False,True,0,0,9,0.4932355662165453
141,41,-112,55,False,True,2,1,4,0.4907693883854626
142,42,27,64,True,False,3,1,6,0.4883155414435353
143,43,-65,117,True,False,2,0,9,0.4858739637363176
144,44,65,38,True,False,1,1,0,0.483444593917636
145,45,-43,99,True,False,1,2,3,0.4810273709480478
146,46,-51,2,False,True,0,0,0,0.47862223409330756
